dataset_id,data_volume,requests,group_title,data_source,dataset_title,var,sensor
erdMWchla3day,2490,3210,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMWchla8day,12062,7070,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMWchlamday,3327,7018,NASA Ocean Color,NASA,"Chlorophyll, NASA MODIS Aqua",chl,modis
erdMWk49014day,13,1110,NASA Ocean Color,NASA,"Kd490, NASA MODIS Aqua",kd490,modis
erdMWk4901day,18,1224,NASA Ocean Color,NASA,"Kd490, NASA MODIS Aqua",kd490,modis
erdMWk4903day,15,1118,NASA Ocean Color,NASA,"Kd490, NASA MODIS Aqua",kd490,modis
erdMWk4908day,13,1110,NASA Ocean Color,NASA,"Kd490, NASA MODIS Aqua",kd490,modis
erdMWk490mday,9,700,NASA Ocean Color,NASA,"Kd490, NASA MODIS Aqua",kd490,modis
erdMWpar014day,12,1070,NASA Ocean Color,NASA,"PAR, NASA MODIS Aqua",par,modis
erdMWpar01day,14,1060,NASA Ocean Color,NASA,"PAR, NASA MODIS Aqua",par,modis
erdMWpar0mday,17,722,NASA Ocean Color,NASA,"PAR, NASA MODIS Aqua",par,modis
erdMWpp1day,22,2214,ERD Primary Productivity,NASA,"Primary Productivity, MODIS",prim_prod,modis
erdMWpp3day,22,2194,ERD Primary Productivity,NASA,"Primary Productivity, MODIS",prim_prod,modis
erdMWsstd14day,420,2216,NASA Sea Surface Temperature,NASA,SST NASA MODIS Aqua,sst,modis
jplG1SST,8557,4362,NASA Sea Surface Temperature,NASA,"SST, NASA G1",sst,blended
jplAmsreSstMon,130,3266,NASA Sea Surface Temperature,NASA,SST NASA AMSR,sst,amsr
nesdisSSH1day,2281,9058,NOAA Altimetery,NOAA,"SSH, NOAA",ssh,blended
ecocast,6,170,Habitat Model,Multiple,NOAA EcoCast Habitat Model,habitat,model
erdVHNchla1day,25612,12178,NOAA Ocean Color,NOAA,"Chlorophyll, NOAA VIIRS SNPP",chl,viirs-snpp
erdVHNchla3day,1848,9418,NOAA Ocean Color,NOAA,"Chlorophyll, NOAA VIIRS SNPP",chl,viirs-snpp
erdVHNchla8day,1998,8044,NOAA Ocean Color,NOAA,"Chlorophyll, NOAA VIIRS SNPP",chl,viirs-snpp
erdVHNchlamday,4975,4964,NOAA Ocean Color,NOAA,"Chlorophyll, NOAA VIIRS SNPP",chl,viirs-snpp
nesdisVHNchlaDaily,4094,5158,NOAA Ocean Color,NOAA,"Chlorophyll, NOAA VIIRS SNPP",chl,viirs-snpp
nesdisVHNchlaWeekly,646,256,NOAA Ocean Color,NOAA,"Chlorophyll, NOAA VIIRS SNPP",chl,viirs-snpp
nesdisVHNkd490Daily,2,60,NOAA Ocean Color,NOAA,"Kd490, NOAA VIIRS SNPP",kd_490,viirs-snpp
nesdisVHNkd490Weekly,1,46,NOAA Ocean Color,NOAA,"Kd490, NOAA VIIRS SNPP",kd_490,viirs-snpp
nesdisVHNkdparDaily,2,54,NOAA Ocean Color,NOAA,"KdPAR, NOAA VIIRS SNPP",kd_par,viirs-snpp
nesdisVHNkdparWeekly,2,70,NOAA Ocean Color,NOAA,"KdPAR, NOAA VIIRS SNPP",kd_par,viirs-snpp
nesdisVHNnLw410Daily,2,54,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw410Weekly,2,58,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw443Daily,2,50,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw443Weekly,1,36,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw486Daily,2,54,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw486Weekly,1,46,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw551Daily,2,54,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw551Weekly,2,66,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw638Daily,1,44,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
nesdisVHNnLw638Weekly,2,70,NOAA Ocean Color,NOAA,"Rrs, NOAA, VIIRS SNPP",rrs,viirs-snpp
